Term,Flight No,Operator,From,Airport name,Scheduled,Estimated,Touchdown,Est Chocks,Act Chocks,Stand,Max pax,Act Pax,Conn pax
2,UA958,United Airlines,ORD,Chicago,04:55 22/10/2016,04:19 22/10/2016,04:19 22/10/2016,04:24 22/10/2016,04:26 22/10/2016,231,183,117,18
5,BA074,British Airways,LOS,Lagos,04:25 22/10/2016,04:23 22/10/2016,04:23 22/10/2016,04:32 22/10/2016,04:32 22/10/2016,535,226,228,76
5,BA034,British Airways,KUL,Kuala Lumpur,04:25 22/10/2016,04:26 22/10/2016,04:26 22/10/2016,04:35 22/10/2016,04:34 22/10/2016,543,216,210,99
5,BA262,British Airways,RUH,Riyadh,04:35 22/10/2016,04:33 22/10/2016,04:33 22/10/2016,04:41 22/10/2016,04:41 22/10/2016,557,226,96,31
3,CX255,Cathay Pacific,HKG,Hong Kong,05:20 22/10/2016,04:35 22/10/2016,04:35 22/10/2016,04:39 22/10/2016,04:40 22/10/2016,256,275,186,17
5,BA016,British Airways,SYD,Sydney,04:10 22/10/2016,04:38 22/10/2016,04:38 22/10/2016,04:46 22/10/2016,04:46 22/10/2016,546,297,289,114
2,UA918,United Airlines,IAD,Washington,05:20 22/10/2016,04:46 22/10/2016,04:46 22/10/2016,04:53 22/10/2016,05:00 22/10/2016,246,269,188,20
4,MH002,Malaysia Airlines,KUL,Kuala Lumpur,04:55 22/10/2016,04:51 22/10/2016,04:51 22/10/2016,05:03 22/10/2016,05:03 22/10/2016,406,487,469,
5,BA012,British Airways,SIN,Singapore,04:50 22/10/2016,04:56 22/10/2016,04:56 22/10/2016,05:04 22/10/2016,05:06 22/10/2016,555,469,419,159
5,BA124,British Airways,DOH,Doha,05:15 22/10/2016,05:03 22/10/2016,05:03 22/10/2016,05:12 22/10/2016,05:13 22/10/2016,554,216,131,66
3,BA058,British Airways,CPT,Cape Town,05:15 22/10/2016,05:05 22/10/2016,05:05 22/10/2016,05:14 22/10/2016,05:12 22/10/2016,336,337,340,100
3,VS108,Virgin Atlantic Airways,DTW,Detroit,05:25 22/10/2016,05:06 22/10/2016,05:06 22/10/2016,05:13 22/10/2016,05:16 22/10/2016,319,266,128,7
4,BI097,Royal Brunei Airlines,BWN,Brunei,05:25 22/10/2016,05:07 22/10/2016,05:07 22/10/2016,05:10 22/10/2016,05:11 22/10/2016,414,254,180,2
5,BA056,British Airways,JNB,Johannesburg,04:30 22/10/2016,05:08 22/10/2016,05:08 22/10/2016,05:16 22/10/2016,05:18 22/10/2016,565,469,430,246
5,BA244,British Airways,EZE,Buenos Aires,05:30 22/10/2016,05:10 22/10/2016,05:10 22/10/2016,05:19 22/10/2016,05:20 22/10/2016,539,275,200,136
5,BA072,British Airways,MCT,Muscat,05:20 22/10/2016,05:11 22/10/2016,05:11 22/10/2016,05:18 22/10/2016,05:19 22/10/2016,561,216,180,49
3,BA078,British Airways,ACC,Accra,05:15 22/10/2016,05:12 22/10/2016,05:12 22/10/2016,05:21 22/10/2016,05:20 22/10/2016,334,337,272,82
5,BA106,British Airways,DXB,Dubai,05:20 22/10/2016,05:13 22/10/2016,05:13 22/10/2016,05:23 22/10/2016,05:26 22/10/2016,537,275,259,80
5,BA112,British Airways,JFK,New York,05:30 22/10/2016,05:15 22/10/2016,05:15 22/10/2016,05:25 22/10/2016,05:26 22/10/2016,534,275,263,145
3,AA174,American Airlines,RDU,Raleigh-Durham,05:35 22/10/2016,05:16 22/10/2016,05:16 22/10/2016,05:23 22/10/2016,05:26 22/10/2016,325,205,,53
2,UA934,United Airlines,EWR,Newark,19:50 21/10/2016,05:17 22/10/2016,05:17 22/10/2016,05:28 22/10/2016,05:26 22/10/2016,232,183,77,
3,AA100,American Airlines,JFK,New York,05:20 22/10/2016,05:19 22/10/2016,05:19 22/10/2016,05:26 22/10/2016,05:26 22/10/2016,342,310,235,79
5,BA184,British Airways,EWR,Newark,05:25 22/10/2016,05:20 22/10/2016,05:20 22/10/2016,05:30 22/10/2016,05:34 22/10/2016,538,216,200,122
3,BA064,British Airways,NBO,Nairobi,05:15 22/10/2016,05:21 22/10/2016,05:21 22/10/2016,05:28 22/10/2016,05:26 22/10/2016,357,337,295,99
3,AA086,American Airlines,ORD,Chicago,05:50 22/10/2016,05:23 22/10/2016,05:23 22/10/2016,05:31 22/10/2016,05:34 22/10/2016,328,205,,59
3,VS004,Virgin Atlantic Airways,JFK,New York,05:45 22/10/2016,05:24 22/10/2016,05:24 22/10/2016,05:32 22/10/2016,05:32 22/10/2016,316,308,173,7
2,AC822,Air Canada,YYT,St. John's,05:35 22/10/2016,05:25 22/10/2016,05:25 22/10/2016,05:31 22/10/2016,05:33 22/10/2016,139,120,62,38
5,BA160,British Airways,PVG,Shanghai,05:15 22/10/2016,05:27 22/10/2016,05:27 22/10/2016,05:34 22/10/2016,05:34 22/10/2016,558,275,241,82
